cod,descricao
060061,GUARNICAO P/  TELA  MOSQUITEIRO
060062,1 - VIVACE CUBA  DE APOIO  ITAPARICA - CS- 170
060063,MT TABUA 0.30
060064,MT TABUA 0.10
060065,TUBO SOLD 25MM  TIGRE
060066,MT PEDRA 0
060067,M3 PEDRA 1
060068,1 - BANH. M  ASCOLI MASTER  DUPLA 180/120CM  6JTS FIBRA  MONDIALLE -
060069,1 - PAR DE ALCAS  RETA CR  MONDIALLE -  2030005
060070,2 - TRAVESSEIRO  MODELO 2 PR  MONDIALLE -
060071,1 - ACIONADOR  ELETRONICO  C/SENSOR CR  MONDIALLE -
060072,CHEV/PRISMA  1.4AT LTZ*  MODELO 149585*
060073,BIANCO GL. 3.6 KG
060074,7 - REV.43.2X91  RET.SOIE EVIAN  BRILHANTE CEUSA  - 2936
060075,11 - PISO  59X118.2  PORC.RET.PRIMITI DECORTILES -  8033415
060076,10 - REV.43.2X91  RET.LICOR  BRILHANTE CEUSA  * - 2451
060077,7 - REV.45X66  RET.ART  COMPOSE HD  ITAGRES * -  04262A
060078,3 - PISO 90X90  PORC.RET.CORTEN OXI ROCA -  FYJ9B01251
060079,11 - PISO 20X120  PORC.RET.BLACKW DECORTILES -  8029954
060080,4 - REJUNT.FINE  BEGE CLARO 1KG  INOVATE - 304408
060081,1 - REJUNT.FINE  BRANCO 1KG  INOVATTE - 304405
060082,2 - REJUNT.FINE  GRAFITE 1KG  INOVATTE - 304406
060083,1 - REJUNT.FINE  MARRON  SUCUPIRA 1KG  INOVATTE - 304407
060084,1 - REJUNT.FINE  MARRON  SUCUPIRA 1KG  INOVATTE - 304407
060085,GRANOLA SEM  ACUCAR 10KG
060086,BALANCA FILIZOLA  PLATINA 15KG
060087,3 - PISO 60X120  PORC.RET.PULPIS  BROWN ELIANE * -  8030909
060088,5 - REV.30X20  RET.MICA NEVE  MONTAGGIO AC  PASSEIO - P- 19901
060089,2 - PISO 52.7X105  PORC.RET.OXY  BIANCOGRES -  BO0414O1
060090,INTERRUPTOR -  617183 / 5140002- 54
060091,MANDRIL LEVE  13MM-1/2" ROSCA  1/2" VONDER -  6670013120
060092,METALON GALV 25  X 25 X 125
060093,AC SILICONE BC  FLEX
060094,AC APLICADOR  SILICONE
060095,AF TAMPA PMET  40X20
060096,PORCELANATO  VILLAGRES 2481  RETIFICADO SLIM  24.5X1.00 EXTRA
060097,MOLHA DEDO  CREME  UMEDECEDOR  CARBRINK
060098,GRAMPEADOR CIS  METALIC C15 P/ 40  FLS-FAL
060099,CLIPS NIQUE N 4/0  C/50 95012 LEO E  LEO
060100,REGUA 30CM REF  3110 CRISTAL  DELLO
060101,MARCADOR CD  2MM AZ PILOT
060102,REABASTECEDOR  PINCEL 37ML AZ  PILOT
060103,ELETRODO 25
060104,FURADEIRA  IMPACTO 113D  GSB 13RE 127V -  060123D5D2
060105,6 - PORTA  70X210CM ECO  01F BASSANI -  ECO01F
060106,6 - PORTA  80X210CM ECO  01F BASSANI -  ECO01F
060107,1 - PORTA  60X210CM ECO  01F BASSANI -  ECO01F
060108,15 - PISO  28.8X119  PORC.DEMOLICAO  8140 1L CEUSA -  8140
060109,5 - DOBRADICA  C/BLISTER 3525  CR PADO -  58017183
060110,1 - FECHADURA  LEXI INT. M0994Z  IZ1851 CA IMAB -  CJ9481I18CA00
060111,4 - DOBRADICA  C/BLISTER 3525  CR PADO -  58017183
060112,1 - DOBRADICA  C/BLISTER 3525  CR PADO -  58017183
060113,JOELHO 90O  ESGOTO 40 MM  KRONA
060114,LIXA DE FERRO  120 CARBORUNDUM
060115,SUVINIL ACR FO  GELO 18L
060116,TOM ANTENA TV C- P EV 2930 FAME
060117,TOM 2P+T 10A  250V SM 1427  FAME
060118,MOD CEGO SM C-2  2658 FAME
060119,PLACA 4X4 C-SUP  6MOD EV 2893  FAME
060120,PLACA 3X3 F0R SB  277 FAME
060121,MOD FIO10 SM C-2  2659 FAME
060122,MOD TOM TEL  RJ11 4V SM 974- 501 FAME
060123,PLACA 4X2 C-SUP  3MOD EV 2887  FAME
060124,LAMP LED BULBO  4.8W 6500K BIV  AVANT
060125,PLUGUE 2P+T  MACHO 20A 1913  FAME
060126,1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00
060127,1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00
060128,1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00
060129,PAPEL HIGIENICO
060130,PAPEL RINO A4  75GRS 500FLS  MASTER - CAIXA  C/10 - CHAMEX
060131,APLICADOR P/FITA  DE EMBALAGEM  R.15008 ATACADO  - CAIXA UNID - KIT
060132,CANETA BIC  CRISTAL AZUL  ATACADO - CAIXA  C/50 - BIC
060133,CANETA FINE  PONTA POROSA  AZUL R.4.6700  ATACADO - CAIXA  C/12 - CIS
060134,CLIPS NIQUELADO  00-2/0 500GRS  ATACADO - PCT  C/2 - BACCHI
060135,ELASTICOS P/  ENCARTELADOS
060136,MARCADOR  PERMANENTE  RECARREGAVEL  VSUPER COLOR  AZUL ATACADO -  CAIXA C/12 - PILOT
060137,TINTA  P/MARCADOR  QUADRO BRANCO  20ML AZUL  MULTIPLO  ATACADO - CAIXA  C/12 - BIC
060138,1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00
060139,1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00
060140,ETANOL-3-UN1170- II- GELTRADICIONAL
060141,TEFLON  0.15X200MM C/  ADESIVO
060142,PESADORA  HELIMATIC
060143,MILHO GRAN 25 KG
060144,GRAMPOS  NIQUELADOS
060145,TOUCA  DESCARTAVEL SC  100 UNID
060146,LUVA  DESCARTAVEL CX  100 UNID
060147,MASCARA  DESCARTAVEL SC  100 UNID
060148,SELO LAMINADO
060149,SACOLAS  PERSONALIZADAS
060150,CANETA  COMPACTOR TOP  2000. PRETO  ATACADO - CAIXA  C/25 - COMPACTOR
060151,CANETA  COMPACTOR TOP  2000. VERMELHO  ATACADO - CAIXA  C/25 - COMPACTOR
060152,ELASTICO  AMARELO KILO  ATACADO - PCT  UNID - TEIDE
060153,GRAMPEADOR  ALICATE 12FLS  REF 828L  (290.6900)  ATACADO - CAIXA  UNID - EAGLE
060154,MARCA TEXTO  BRITE LINER  AMARELO  ATACADO - CAIXA  C/12 - BIC
060155,PRANCHETA  EUCATEX OFICIO  24X34 ATACADO -  IND UNID - BACCHI
060156,CLIPS NIQUELADO  3/0 500GRS  VAREJO - CAIXA  UNID - BACCHI
060157,1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00
060158,OLEO(GL5  140)LT(TRM 5- 140)LUBRAX(18004 None
060159,RETENTOR TAMPA  DISTR(00164BAG:S 229
060160,OLEO TURBO(15W- 40)(CH- 4)(01018467)LUBR MTR DIESE
060161,ARRUELA  PRESSÃO(16MM)(3 None
060162,ARRUELA LISA  BICROM(16MM)(31 None
060163,ARRUELA  ALUMINIO(14X20)( 2)TDS
060164,BUCHA  AMORTECEDOR  DIANT.SUPERI(021. 6)F4000
060165,BUCHA  AMORTECEDOR  DIANT.SUPERI(021. 6)F4000
060166,PASTILHA  FREIO(JG)KIA- K2500/K2700/BONG None
060167,BUCHA ISOLADOR  BARRA  ESTAB.DT(0840770 SR5-4X
060168,FILTRO  COMB(WK920/1:MA None
060169,MARMORE  BRANCO  RECORTADO E  ACABADO POLIDO  0.02
060170,GRANITO MARRON  RECORTADO E  ACABADO POLIDO  0.02
060171,GRANITO PRETO  SÃO GABRIEL  RECORTADO E  ACABADO POLIDO  0.02
060172,GRANITO VERDE  UBATUBA  RECORTADO E  ACABADO POLIDO  0.02
060173,FILTRO  AR(JFAK14:WEGA) K2500 HDI  2008/HYNDAI
060174,MOTO G5 PLUS TV  XT1683 32GB  PLATINUM
060175,SAMSUNG GALAXY  ON7 16GB  DOURADO
060176,EMB.PAPELAO  ONDULADO |REF.:  CAIXA 24 MOLHOS  |AMAR.: 198  AMARRADOS DE  25 + 1 DE 6
060177,PERFURADOR G 20  2 FUROS P/ 20FLS  GENIAL
060178,MONITOR AOC LED  18.5 W E970SWNL
060179,HD SEAGATE 1TB -  ST1000DM010
060180,PLACA MAE  ASROCK FM2A55M- HD+ R2
060181,MEMORIA  KINGSTON 4G  DDR3 -  KVR13N9S8/4
060182,PROCESSADOR  AMD A4 6300 -  AD6300OKHLBOX
060183,GAB MICRO-ATX  MT-22BK PS-200V2  U2HA C3T
060184,MUNDCLEAN APA- PEROXIDO  ORGANICO. TIPO  F. LIQUIDO ACIDO  PERACETICO  ESTABILIZADO 5.2  8 UN3109
060185,MUND ACP LP-E
060186,DETERGENTE  MUNDCLEAN AL
060187,MOUSE  MULTILASER  EMBORRACHADO  USB PRETO MO222  GARANTIA  FABRICANTE: 90  DIAS
060188,TECLADO STD USB  LITE SKL104  GARANTIA  FABRICANTE: 90  DIAS
060189,ESTABILIZADOR  SMS REVOLUTION  SPEEDY 300VA  16520 165200302063 165200302051 GARANTIA DE 12  MESES COM  FABRICANTE
060190,TAMBORES VAZIOS  TIPO 200 LITROS  000701SK
060191,TAMBORES VAZIOS  TIPO 200 LITROS  000701SK
060192,TAMBORES VAZIOS  TIPO 200 LITROS  000701SK
060193,VARAL CHAO  ACO.123X46ABA  BC RAVENA
060194,FITA ADESIVA  TRANSPARENTE  48X50 CR
060195,FITA ADESIVA  PERSONALIZADA  48X50 CR
060196,BOTINA  SEG.EL.S/B  BRONZE  GARRA37PT
060197,FITA PONTTO
060198,FILME TEC LAM  BOPP+PE  27X19.7X0.005  TEMPERO P/  CHURRASCO
060199,TALHADEIRA SDS  PLUS 250MM  BOSCH UN 0001 UN
060200,ALCOOL EM GEL
060201,LUVA VERDE (PAR)
060202,BOMBA AUTO  ASPIRANTE
060203,ENVELOPE KRAFT  OURO 22X32.  80GR R.1018  MASTER - CAIXA  C/5 - MAITTRA
060204,PAPEL CHAMEX A4  MULTI 75GRS  500FLS MASTER -  CAIXA C/10 -  CHAMEX
060205,BLOCO NOTE FIX  76X76MM NFX4  100FLS ATACADO -  IND UNID - 3M
060206,CALCULADORA DE  MESA KD-3588B  PILHA 12 DIGITOS  ATACADO - CAIXA  UNID - KADIO
060207,CANETA BIC FINE  PLUS - CRISTAL  FINA. PRETO  ATACADO - CAIXA  C/50 - BIC
060208,CANETA BIC FINE  PLUS - CRISTAL  FINA. VERMELHO  ATACADO - CAIXA  C/50 - BIC
060209,FACA ESTILETE  LARGO CIS  METALICO S68BC  R.260.1300  ATACADO - IND  UNID - CIS
060210,GRAMPEADOR  ALICATE KANGARO  HP-45 P/ 30 FLS  R.19.0600  ATACADO - CAIXA  UNID - CIS
060211,PINCEL ATOMICO  R.1100-P PRETO  ATACADO - CAIXA  C/12 - PILOT
060212,TINTA P/PINCEL  ATOMICO 37ML  PRETO ATACADO -  CAIXA C/12 - PILOT
060213,MASSA CORRIDA  CORAL 18L
060214,CAMISA ATLAS DE  LA 328/22
060215,GARFO ATLAS  400/23SR
060216,TRINCHA ATLAS  395 2"
060217,LIXA D'AGUA 360  CARBORUNDUM
060218,LIXA DE MADEIRA  100 CARBORUNDUM
060219,LIXA DE MADEIRA  120 CARBORUNDUM
060220,DECORA FO  BRANCO 18L
060221,SELADOR ACR  CORAL 18L
060222,CREME DE MILHO  25 KG
060223,PALETEIRA  MANUAL 2000K  MENEGOTTI
060224,CARRINHO  CONST.GALV.PC  3.25X8 MET
060225,RACK CONT.C/FD  2.00X0.95CM4BAN None
060226,RACK INIC.C/FD  2.00X0.95CM  4BAN.SA
060227,RODIZIO  GIRAT.PLACA GEL  TRANSP.SCH
060228,GOMA ELASTICA  P/CEDULA  MERCUR2.200
060229,GRAMPO  GRAMPEADOR  26/6 20X5000
060230,GRELHA  QD.ROT.INOX.S/CA CRISTAL
060231,GRELHA  QD.ROT.INOX.S/CA CRISTAL
060232,LUVA  PROCEDIM.DESC.VI VOLK
060233,SACO CRU NOVO  70X50 18BAT LIG  C/5
060234,CHAVE TESTE  DIGIT.12/200VFOXL EN
060235,BOTINA ELAST.S/B  BID.VULCAFLEX 41
060236,RELOGIO DE  PONTO  CARTOGRAFICO  HENRY PLUS
060237,TORNEIRA  LAV.CR.ALAV.1/4V HERC
060238,LAMPADA TUB.LED  1.20M18W BIV  FOXLU
060239,LUVA LATEX  AMAR.FOR.08GMU None
060240,LAMPADA  TUB.S.LED  1.20M20W BIV EQQ
060241,LUMINARIA  EMERG.30LED BIV  LIT ELGI
060242,CHAVE ALLEN 25PC  STARFER EN
060243,BICICLETA ARO 20  EXPERT 1V PRETO  FOSCO - CALOI
060244,BICICLETA CALOI  ASPEN T18 ARO 26  21V PRETO -  MODELO 2016
060245,BROCA AÇO RAP  3/16" SIM  FERRAGENS
060246,SPOT 5W 6500K  29129 DME
060247,DISJ DIN 3X100A  FAME
060248,ABRAC.ACO  20/40W -INCA
060249,CABO FLEX 1KV  HEPR 95.00MM  P/MT PT
060250,CABO FLEX 750V  50.00MM P/MT PT
060251,TER A  COMPRESSAO  95MM
060252,TER A  COMPRESSAO  50MM
060253,TUBO PVC  SOLDAVEL 25 X  6MTS -TIGRE
060254,CURVA 90 SD  25MM -TIGRE
060255,ADESIVO PLAS FR  175G C/PINCEL - AMAN/KR
060256,BOIA VAZAO  TOTAL B.P. 3/4 - BELMAR/PEVILON
060257,SERRA ACO  RAPIDO RS1218 - STARRETT
060258,FITA VEDA ROSCA  18MM X 50M -TIGRE
060259,REGISTRO ESF SD  C/UNIAO 32 PVC - TIGRE
060260,ABRAC.TIPO U 3/4  -INCA
060261,TE SD 32MM -TIGRE
060262,CURVA 90 SD  32MM -TIGRE
060263,TUBO PVC ESG 150  X 6 MTS - CARDINALE /  PLASTILIT
060264,ACO CA 60 4_2 12  MTS
060265,VERGALHAO CA50  8_0 MM BR 12M
060266,VERGALHAO CA50  10_0 MM BR 12M
060267,SAPATA SOLDADA  10.0MM 80 X 80
060268,PREGO C_CABECA  P18 X 30 20 KG
060269,PREGO C_CABECA  P19 X 36 20 KG
060270,ARAME RECOZIDO  1.24 (18") RLO 1KG
060271,ABRAÇADEIRA  REG(14MM)(57X76) None
060272,ABRAÇADEIRA  REG(14MM)51X64(2 2)(5490051064)
060273,ABRAÇADEIRA  REG(9MM)(13X19)( None
060274,ABRAÇADEIRA  REG(9MM)(1.1- 4X1.3- 4)(32X44)(5390324 None
060275,BALANCIM  ADMISSAO(A16H53 None
060276,ABRAÇADEIRA  PLASTICA(4.8MM  X390MM)(8880.091 None
060277,CORREIA POLY  V(4PK1065:DAYCO)
060278,TENSOR  CORREIA(7789:NYT 2.5/L300/PAJER
060279,CORREIA  SINCRONIZADA(09 None
060280,CORREIA  SINCR(163H95P254 None
060281,PIVO  INFERIOR(PVI0200) HI/ANO 93/...
060282,ABRAÇADEIRA  SILENCIOSO(70MM) None
060283,ARRUELA  LISA(08MM)ABA  LARGA(3151008)
060284,ARRUELA  PRESSÃO(08MM)(3 None
060285,FILTRO  COMB(PSC998:TEC None
060286,PARAFUSO  SEXT.RG(08X020)(4 None
060287,BIELETA  DIANTEIRA(D06H10 25
060288,PIVO SUPERIOR  K2500
060289,SAPATEIRA  MAD.MULTIUSO  ALTA KASPPE
060290,CLIPS PAPEL  GALVAN 3/0 10CX  C50
060291,PINCEL ATOMICO  PILOT 1100P AZUL
060292,CANETA BIC  CRISTAL .AZUL  C/50
060293,CANETA BIC  CRISTAL .PRETA  C/50
060294,CLIPS PAPEL  GALVAN 6/0 10CX  C50
060295,MIXER BLACK  DECKER SB40 110V
060296,MARCADOR  CD/DVD BIC AZUL
060297,PORTA BOLO INOX  REDON.2PCS  PETUNIA
060298,PENEIRA  FUBA/CAL55 METAL
060299,CADEIRA  ESTUD.PALITO  S/BRC.CINZA
060300,PLASTICO BOLHA  60X10MT REPLAST  C10
060301,ROUPEIRO ACO  C/8 PORTAS  .AMAPA
060302,BOTINA  SEG.EL.S/B PRATA  GARRA41PTO
060303,BOTINA  SEG.EL.S/B PRATA  GARRA39PTO
060304,BOTINA SAAD  COUNTRY COR  WHISKY 42
060305,RODO CABO  ALUM.60CM  PUXOU-SECOU C6
060306,CADEIRA  SECRET.S/BRC PTA  GAS PLAXM
060307,LAMPADA TUB.LED  1.20M18W6.4K BIV  K
060308,SANDALIA  HAVAI.CAPRIC.BC/ GD35/6
060309,ALICATE PRESSAO  10 TRAMONTINA  EN
060310,DISCO LIXA FERRO  50 DISF.4.1/2 C10
060311,SANDALIA  HAVAI.SLIM  ORGA.BC/PR35/6
060312,SERRA VIDEA MD  110MM24D MAKITA
060313,DISCO  DIAM.NORTON  TURBO 7  POLEGADA
060314,SANDALIA  HAVAI.SURF CZ  CHUM/PT41/2
060315,BOTINA  SEG.EL.S/B PRATA  GARRA38PTO
060316,BOTINA  SEG.EL.S/B PRATA  GARRA40PTO
060317,BOTINA  SEG.EL.S/B PRATA  GARRA42PTO
060318,BOTINA  SEG.EL.S/B PRATA  GARRA44PTO
060319,SANDALIA  HAVAI.KIDS  ATH.LJ NEO33/4
060320,BOTINA ELAST.S/B  BID. BCA GARRA 38
060321,DESEMPENADEIRA  PLAS.FRIS15X26  CAST
060322,PA SX MA 5.8  10X45 RI ZB  14541401
060323,AR LI 3/8  81025101 ZB
060324,PO SX MA 10 CHV  17 ZB 60541101
060325,DISJ DIN 3X32A  BIV CC PRIME
060326,DISJ DIN 3X50A  BIV.CC PRIME
060327,DISJ DIN 3X40A  BIV.CC PRIME
060328,DISJ DIN 3X25A  BIV CC PRIME
060329,DISJ DIN 2X25A CC  FAME
060330,DISJ DIN 1X25A CC  FAME
060331,CORALIT ZERO BR  TABACO 3.6L
060332,CORALIT ZERO BR  TABACO 3.6L
060333,CORANTE CORAL  VERMELHO 50ML
060334,RENDE MTO GELO  18L
060335,MESA  PLAST.BRANCA  90CM  RED.ANTARES
060336,ESCADA BANQ.03D  ACO  DOBRAV.PISOTET
060337,CADEIRA  PLAST.BISTRO BCA  ANTARES
060338,CAIXA  FERRAM.49X25X25  PLAS.STAN19
060339,PAPEL CHAMEX  216X279 10X500  CARTA
060340,CADEIRA  PLAST.BISTRO BCA  TRAMONTIN
060341,BANQUETA PLAST.  BRANCA DUNNAS
060342,CANETA BIC  CRISTAL FINA  AZUL C50
060343,GRAMPEADOR  METAL GRANDE C- 15 CIS
060344,BOTINA  SEG.EL.C/B  BRONZE  GARRA41PT
060345,GARRAFAO  TERMICO 5.0L  INVI.VM.8705
060346,BOTINA  SEG.EL.C/B  BRONZE  GARRA40PT
060347,BOTINA  SEG.EL.C/B  BRONZE  GARRA42PT
060348,VARA DE FERRO  1/4
060349,CIMENTO  ALVORADA 50KG
060350,TRELICA C/ 9 MT
060351,COLUNA 7X14 5/16
060352,DISCO DE CORTE  P/ FERRO
060353,COLUNA 7X20 5/16
060354,TRELICA C/ 7 MT
060355,AUTOM BOMBA  25A FENIX
060356,TIJOLO 20 X 30
060357,TIJOLO 20 X 20
060358,PIA SINTETICA 120  X 50
060359,CX DAGUA  POLIETILENO  1000L-CASALIT
060360,LAMP FLUOR 3V  25W 127V BR 4040  OUROLUX
060361,RECEPTACULO  LATAO 1451  LORENZ.
060362,PLACA 4X2 F0 SB  760 FAME
060363,PLACA 4X4 F00 SB  867 FAME
060364,PLACA 4X4 F33 SB  957 FAME
060365,TOM DUP 2P+T SB  10A S/P 1337 FAME
060366,INT 2SS S/P SB 603  FAME
060367,PLACA 4X4 F22 SB  952 FAME
060368,TOM 2 RET SB  1353 FAME
060369,INT 1S SB 560  FAME
060370,TOM 2P+T SB 1349  FAME
060371,INT 2SS SB 627  FAME
060372,TOM 2P+T SB 1349  FAME
060373,GM VERG CA60  RETO PP 5_0MM
060374,TABLET KINNO  PC205 7 0 WI FI 3
060375,CANETA BIC FINA  PRECISAO -  CRISTAL AZUL  ATACADO - CAIXA  C/50 - BIC
060376,CANETA RETRO  PROJETOR 2.0MM  CD/DVD  REF.T65203 AZUL  ATACADO - CAIXA  C/12 - KIT
060377,DIMMER DMR100N  C/POT .REMOTO  10A 220V
060378,MDH370NS-90  240VCA - P655
060379,DISCO DE  DESBASTE  114.3X6.4X22.2MM  FS24 - FRATEC
060380,DISCO DE CORTE  304.8X3.2XX19.05 F 240 (FRATEC)
060381,TRENA 5M X 19MM - 536003
060382,ELETRODO MGM 18  - 2.50 - 102072- 250MLMGM
060383,HAMMERITE  PRATA 0.8L
060384,DEGRAU RETO  80CM
060385,LUB GIN 300ML
060386,RESPIRADOR P  PINTURA 3200  FILT/CARTUC
060387,BIANCO BD. 18 KG
060388,1 -  NIVELADOR/ESPAC 1.0MM NIVELA  CERTO (PCT  100PCS) -  NCP1001.0MM
060389,1 -  NIVELADOR/ESPAC 1.0MM NIVELA  CERTO (PCT  100PCS) -  NCP1001.0MM
060390,ARGAMASSA  LIGAMAX EXTRA  BRANCO 20KG
060391,PROLONG EXT MD  1-2 0021 HIDROPAL
060392,PROLONG EXT CT  1-2 020 HIDROPAL
060393,RELE FOTOELET  220V STIEL
060394,FITA VEDA RSC  18X10M AMANCO
060395,BUCHA NYL S6 NE  1540-601540
060396,FI CH PH 4.0X35  PS BC 39152402
060397,BRAC FECHADA  COND 3-4 TIGRE
060398,TARTARUGA PLAST  PRETA EXTRALUZ
060399,QUAD DIST 8DIN  BR ANDALUZ
060400,ARGAMASSA ACIII-  20 KG
060401,1 - LIXEIRA P/ PIA  DE GRANITO 5LT  TRAMONTINA -  94518/005
060402,JOELHO AZUL 25 X  1/2
060403,ADESIVO  PLASTICO PVC  FRASCO 175G  TIGRE
060404,LUVA SOLD 25  TIGRE
060405,REGISTRO ESFERA  SOLD 25MM TIGRE
060406,CURVA 90 SOLD 25  TIGRE
060407,ABRACADEIRA  SUPRENS P/ TUBO  3/4
060408,PARAFUSO
060409,TE SOLD 25 TIGRE
060410,JOELHO 90 SOLD  25 TIGRE
060411,ADAPT SOLD  CURTO 25 X 3/4  TIGRE
060412,OLEO FREIO DOT  4(500ML)VARGA
060413,SELADORA  SPARLACK 3.6L
060414,MASSA P MADEIRA  CORAL 3.6L
060415,MASSA P MADEIRA  CORAL 3.6L
060416,MASSA P MADEIRA  CORAL 3.6L
060417,MASSA P MADEIRA  CORAL 3.6L
060418,ETIQUETAS PERS.  AUTOADESIVAS  ATRIOS  ALIMENTOS SAL  GROSSO COM  ALHO 500G -  COUCHE - 82X108
060419,ETIQUETAS PERS.  AUTOADESIVAS  ATRIOS  ALIMENTOS SAL  GROSSO COM  ERVAS FINAS 500G  - COUCHE - 82X108
060420,P208PWL MANCAL
060421,UC208FKD PILO  BLOCO
060422,PARAF 1/2X2.1/2  SEXT RI ZB
060423,PORCA 1/2 SEXT  BSW CH3/4 ZB
060424,ARRUELA LISA 1/2  ZN (63)
060425,PARAF 5/16X2.1/4  SEXT RP ZB - PECA
060426,PORCA 5/16 SEXT  UNC CH1/2 ZB
060427,ARRUELA LISA  5/16 ZN (290)
060428,VIBRA ST MINI  D90MM 500KG/PC  1/2
060429,DISCO DE CORT  INOX 115X3/64  STARRETT
060430,SUCATA ACO INOX  304
060431,CHAVE FENDA  TRAMONTINA  5/16X8 C6
060432,DISCO CORTE  12X1/8X3/4SUPER  NORTON
060433,ALICATE  BICO1/2CANA  41008/106 TRAM
060434,CHAVE FENDA  TRAMONTINA JG  6PCAS EN
060435,SOLDA  CARRET.AZ60X40C COB
060436,CHAVE PHILLIPS  GEDORE 3/16 X 3
060437,CHAVE PHILLIPS  GEDORE 1/4 X 5
060438,ALICATE  UNIVER.PROFIS. 8  GEDORE
060439,DISCO CORTE 4  1/2X1.2INOX  STARC10
060440,ALICATE CORTE  DIAG.6 CRV  PROF.MEGA
060441,CHAVE PHILLIPS  GEDORE 1/8 X 3
060442,CHAVE BOCA  06A22MM 8PCS  STARFER
060443,ESMERILHADEIR 4  1/2 MAK  GA4530.220
060444,DISCO DESBAST  4.1/2 DISFLEX C25
060445,REFLETOR 6W RGB  ACO INOXIDAVEL E  POLICARBONATO
060446,APARELHO P/ AC.  C/ CONTROLE  REMOTO MCX971N- 220VCA - P591
060447,DISPOSITIVO  CANO 50
060448,REFLETOR  CASCATA RGB  45CM
060449,REJUNTAMENTO  ELIANE PISCINA  BRANCO 4KG
060450,2 - FECHADURA  LEXI EXT. M0994Z  EZ1750 CIL CA  IMAB -  CJ9481E17CA00K
060451,1 - FECHADURA  LEXI EXT. M0994Z  EZ1750 CIL CA  IMAB -  CJ9481E17CA00K
060452,1 - FECHADURA  LEXI EXT. M0994Z  EZ1750 CIL CA  IMAB -  CJ9481E17CA00K
060453,1 - FECHADURA  LEXI EXT. M0994Z  EZ1750 CIL CA  IMAB -  CJ9481E17CA00K
060454,OCULOS SS1  WORKER
060455,CX LUZ DRYWALL -  4X2
060456,COMPONENTE B  PARA PU  INTERTHANE 600ML
060457,TINTA PU BRANCO  INTERTHANE 3.6L
060458,1 - LIXEIRA P/ PIA  DE GRANITO 5LT  TRAMONTINA -  94518/005
060459,1 - PLAFON SLIM  FIT LED  QUADRADO 18W  3000K TASCHIBRA - 15090120
060460,1 - SPOT EMBUTIR  LED QUAD SP 25  5W 6500K  TASCHIBRA -  15090136
060461,1 - SPOT EMBUTIR  LED QUAD SP 25  5W 3000K  TASCHIBRA -  15090135
060462,1 - SPOT EMBUTIR  LED QUAD SP 25  5W 3000K  TASCHIBRA -  15090135
060463,1 - SPOT EMBUTIR  LED QUAD SP 25  5W 3000K  TASCHIBRA -  15090135
060464,1 - SPOT EMBUTIR  LED QUAD SP 25  5W 3000K  TASCHIBRA -  15090135
060465,1 - SPOT EMBUTIR  LED QUAD SP 25  5W 3000K  TASCHIBRA -  15090135
060466,1 - SPOT EMBUTIR  LED QUAD SP 25  5W 3000K  TASCHIBRA -  15090135
060467,1 - REFLETOR  DEEP LED 10W RGB  C/CONTROLE  BRONZEARTE * -  LDCOBRF10CR1
060468,1 - ESPETO SOLAR  P/JARDIM DECO 03  3000K TASCHIBRA - 15100059
060469,1 - ESPETO  P/JARDIM 1LED  ENERGIA SOLAR  BRONZEARTE * -  LDES1SOPP
060470,1 - ESPETO SOLAR  P/JARDIM DECO 03  3000K TASCHIBRA - 15100059
060471,1 - ESPETO  P/JARDIM 1LED  ENERGIA SOLAR  BRONZEARTE * -  LDES1SOPP
060472,1 - LUMINARIA  SLIM LED 10  AUTOVOLT 6500K  BR TASCHIBRA -
060473,NOZ MOSCADA  BOLA 25 KG
060474,ALHO AROMA ID.  NAT. SA
060475,CHURRASCO  AROMA ID. NAT.  SA
060476,PIMENTA  MALAGUETA  AROMA ID. NAT.  SA
060477,FITA VEDA RSC  18X50M TIGRE
060478,TORN LAV FIX  OGGI 1192  FABRIMAR (3686)
060479,TORN COZ PAR  OGGI1169FABRIM( None
060480,VALV COZ 3.1-2  INOX 1624  LORENZETTI
060481,VALV TANQUE S-L  1612 C20  LORENZETTI
060482,SIFAO UNIV C- COPO CR SSUC2  ASTRA
060483,ANEL CERA  VEDACAO VASO  MAXSEAL
060484,TE SD 32MM TIGRE
060485,TE SD 32MM TIGRE
060486,JOELHO SD  90X32MM TIGRE
060487,PILHA PQ 15X4 C-4  EVEREADY
060488,2 - FABRIMAR  CREATO  ACAB.DIREITO 1/2  E 3/4 CR - 6497
060489,IMPRESSOS -  SOLAPA COM  VERNIZ TOTAL
060490,GR 150ML  INCOLOR 11.00G  ROSCA 1
060491,ET ADES 48X50  BR/VERM SUPRA AL
060492,SACO ALGODAO  ALVEJADO SG GD
060493,ESPONJA  LIMPPANO DUPLA  FACE
060494,SIF METAL PIA  AMER 1725  LORENZ.
060495,LAMINA ESTREITA  TUBO C/10 CIS
